id,y_2012,y_2013,y_2014,y_2015
370630001011,1,3,2,3
370630001012,,2,,
370630001021,,,,1
370630001022,6,8,6,6
370630002001,1,,3,
370630002002,2,6,6,7
370630002003,,,,
370630003011,8,3,4,6
370630003012,,,,
370630003013,,,,
370630003021,,,,
370630003022,,,,
370630003023,,,,1
370630004011,2,,,1
370630004012,,,,
370630004013,1,1,,6
370630004021,21,17,13,22
370630005001,3,1,,4
370630005002,5,3,6,10
370630005003,2,,3,3
370630005004,1,,,1
370630006001,4,,,1
370630006002,2,1,,1
370630006003,,,,
370630007001,15,18,9,13
370630007002,,,,
370630007003,,,,1
370630009001,2,2,,1
370630009002,,,,
370630010011,,,,
370630010012,,,,
370630010013,5,,,
370630010021,1,,1,
370630010022,2,,1,
370630010023,,,,
370630010024,,,,
370630011001,3,2,2,1
370630011002,4,4,1,3
370630013011,,,,
370630013031,,,,
370630013032,,,,
370630013041,3,,,5
370630014001,,,,
370630014002,,1,,2
370630015011,31,53,40,81
370630015021,2,1,1,4
370630015022,1,,,3
370630015023,3,4,,3
370630015024,,1,2,1
370630015031,1,5,4,2
370630016011,2,,,
370630016012,2,,1,
370630016013,1,,,2
370630016031,,,,
370630016032,1,1,1,2
370630016033,,,,
370630016034,,,,
370630016041,,,,
370630016042,,,,
370630016043,,,,
370630017051,,1,,
370630017052,11,15,3,5
370630017053,2,5,2,5
370630017061,,,1,
370630017062,1,,,
370630017071,,,,
370630017072,5,4,1,2
370630017073,,,,
370630017074,,,,
370630017075,,,,1
370630017081,1,,,3
370630017091,,,,
370630017092,,,,1
370630017093,5,5,9,6
370630017101,,2,3,8
370630017102,,,,
370630017111,,,,1
370630017112,,,,
370630017113,,,,
370630018011,1,,,1
370630018012,,,,
370630018013,,1,,
370630018014,2,1,4,4
370630018015,,,3,4
370630018021,1,1,,1
370630018022,,,,
370630018023,1,1,,1
370630018024,,,,
370630018061,,1,,1
370630018062,,,,
370630018071,1,,3,
370630018072,,,,
370630018073,,,,
370630018081,,,,1
370630018082,2,,1,5
370630018091,9,14,7,8
370630018092,,,1,2
370630019001,,1,1,1
370630019002,,,,
370630020071,,,,
370630020072,4,1,3,4
370630020073,,,,
370630020081,,,,
370630020082,,,1,
370630020091,1,2,,5
370630020092,,,1,
370630020093,1,,,2
370630020131,,1,1,
370630020132,,1,,
370630020133,,,,
370630020151,1,1,8,5
370630020152,4,5,7,11
370630020153,14,9,9,10
370630020161,2,3,,2
370630020162,15,11,13,9
370630020171,,1,,
370630020172,,,,
370630020173,5,7,4,5
370630020181,,1,,1
370630020182,5,5,5,8
370630020183,10,9,7,6
370630020191,10,13,16,23
370630020192,,,1,1
370630020193,2,,,
370630020201,3,1,2,1
370630020202,,,1,
370630020211,65,29,15,40
370630020212,1,2,,1
370630020221,1,,2,1
370630020222,,,1,
370630020231,1,,,
370630020232,7,3,5,3
370630020241,1,,,
370630020242,,,,
370630020243,,,,
370630020251,1,,,
370630020252,,,,
370630020253,,,,
370630020261,,,1,
370630020262,1,,1,1
370630020271,7,8,6,5
370630020272,25,35,24,35
370630020273,,,,
370630020281,7,10,16,22
370630020282,,1,,1
370630020283,29,44,51,77
370630021001,14,11,6,12
370630021002,,,,
370630021003,,,,
370630022001,33,41,53,46
370630023001,6,7,15,10
370630023002,1,1,1,3
370639801001,59,75,83,49
