id,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017
370630001011,6,5,13,10,19,10
370630001012,11,12,22,6,7,23
370630001021,13,18,19,19,25,32
370630001022,4,7,7,5,5,7
370630002001,3,6,2,4,4,5
370630002002,6,24,23,16,17,10
370630002003,5,2,1,1,5,5
370630003011,5,9,11,3,9,6
370630003012,10,1,6,4,12,4
370630003013,2,4,1,3,6,14
370630003021,2,1,3,0,0,1
370630003022,5,6,6,3,7,6
370630003023,12,57,10,4,7,8
370630004011,2,4,8,7,0,4
370630004012,0,1,1,3,0,
370630004013,1,8,1,1,3,5
370630004021,10,10,23,4,6,9
370630005001,0,0,0,1,0,1
370630005002,2,6,7,8,3,21
370630005003,36,41,18,9,10,12
370630005004,20,98,17,21,50,15
370630006001,3,12,19,24,10,9
370630006002,17,38,24,33,18,20
370630006003,0,4,0,0,0,
370630007001,3,14,6,14,8,3
370630007002,0,11,10,5,0,4
370630007003,4,3,2,2,3,2
370630009001,58,29,26,23,29,33
370630009002,99,40,37,32,56,26
370630010011,154,43,35,20,15,25
370630010012,91,299,39,22,30,32
370630010013,43,187,50,30,24,23
370630010021,20,29,19,32,42,74
370630010022,4,91,5,8,7,12
370630010023,10,92,49,25,26,25
370630010024,27,10,49,27,26,58
370630011001,347,71,41,67,44,30
370630011002,110,66,23,18,15,19
370630013011,106,297,87,62,62,110
370630013031,32,78,50,29,27,20
370630013032,14,16,19,13,8,42
370630013041,16,12,159,27,16,19
370630014001,143,21,7,7,22,7
370630014002,212,48,40,30,37,24
370630015011,0,0,0,0,0,
370630015021,4,0,8,6,9,7
370630015022,0,0,0,2,0,
370630015023,2,1,3,1,2,6
370630015024,3,2,3,4,1,
370630015031,0,0,1,1,0,
370630016011,0,0,0,1,0,
370630016012,2,1,3,5,0,2
370630016013,2,2,1,1,0,
370630016031,0,2,1,3,0,1
370630016032,1,1,6,0,2,2
370630016033,0,0,0,0,0,
370630016034,,,,,,
370630016041,1,1,3,0,2,1
370630016042,0,0,0,0,0,
370630016043,0,0,0,0,0,
370630017051,2,5,8,9,9,4
370630017052,1,3,4,3,2,7
370630017053,4,4,2,4,5,9
370630017061,3,0,7,4,3,1
370630017062,1,7,1,5,3,4
370630017071,1,1,0,0,1,
370630017072,0,1,1,1,0,3
370630017073,1,1,0,0,0,
370630017074,1,2,1,0,1,1
370630017075,0,0,0,0,0,1
370630017081,6,10,14,26,41,23
370630017091,10,7,16,9,10,11
370630017092,4,9,9,6,5,19
370630017093,30,11,18,20,18,18
370630017101,1,11,9,5,9,13
370630017102,6,10,9,14,24,13
370630017111,0,4,5,4,0,6
370630017112,9,7,6,9,8,13
370630017113,4,5,3,4,5,18
370630018011,1,5,7,3,4,3
370630018012,2,4,2,3,6,3
370630018013,5,2,6,1,12,9
370630018014,1,2,0,0,1,3
370630018015,0,0,0,0,0,
370630018021,18,13,54,72,39,32
370630018022,24,5,10,18,51,9
370630018023,5,8,17,15,9,8
370630018024,10,10,4,4,8,7
370630018061,0,0,0,2,0,
370630018062,3,1,0,2,3,4
370630018071,5,6,6,1,5,4
370630018072,0,2,2,4,0,2
370630018073,3,3,2,4,1,3
370630018081,1,0,1,0,4,1
370630018082,1,1,0,2,0,
370630018091,1,5,6,2,3,1
370630018092,2,8,2,2,4,2
370630019001,0,0,0,0,0,
370630019002,,,,,,
370630020071,0,2,1,4,0,
370630020072,1,1,4,5,2,2
370630020073,1,3,3,3,0,
370630020081,0,0,0,0,0,
370630020082,1,0,3,1,0,4
370630020091,125,35,27,20,17,14
370630020092,7,8,11,18,19,13
370630020093,12,9,17,12,9,15
370630020131,3,3,1,1,1,
370630020132,1,4,3,0,2,
370630020133,0,0,2,2,0,1
370630020151,8,8,8,10,7,1
370630020152,0,3,2,1,0,3
370630020153,0,1,2,0,0,
370630020161,16,9,7,17,9,17
370630020162,4,1,1,3,4,2
370630020171,0,0,0,0,0,1
370630020172,0,0,0,0,0,2
370630020173,2,0,2,3,1,2
370630020181,2,0,0,0,0,
370630020182,5,5,7,1,3,7
370630020183,0,2,1,5,0,4
370630020191,1,0,0,0,0,1
370630020192,0,0,0,1,0,
370630020193,0,0,0,0,0,
370630020201,0,0,0,0,0,
370630020202,0,1,0,1,0,3
370630020211,0,0,2,1,0,
370630020212,0,0,2,0,0,
370630020221,1,1,1,2,3,2
370630020222,1,1,3,2,0,1
370630020231,0,5,2,0,0,
370630020232,0,1,3,1,0,
370630020241,3,29,5,1,11,2
370630020242,1,0,1,3,4,1
370630020243,1,1,0,2,0,
370630020251,7,2,4,0,3,7
370630020252,1,2,6,13,2,2
370630020253,1,1,1,0,2,1
370630020261,14,4,11,16,10,10
370630020262,8,4,15,5,10,11
370630020271,7,2,8,7,6,1
370630020272,5,4,2,9,6,17
370630020273,1,0,2,3,1,3
370630020281,1,0,2,2,0,1
370630020282,0,0,0,0,0,
370630020283,1,0,1,3,2,2
370630021001,0,0,1,1,0,1
370630021002,,,,,,
370630021003,,,,,,
370630022001,11,36,20,21,27,7
370630023001,12,105,35,17,70,14
370630023002,15,47,11,6,8,7
370639801001,0,0,0,0,0,
